Cycles (Myr)	Spectral Power
0.048912491	0.050028008
0.048993876	0.036949759
0.049075261	0.026258052
0.049156646	0.018369612
0.049238031	0.013587045
0.049319416	0.012089002
0.049400802	0.013925314
0.049482187	0.019017215
0.049563572	0.027162549
0.049644957	0.038045687
0.049726342	0.05125169
0.049807728	0.066284075
0.049889113	0.082585425
0.049970498	0.09955997
0.050051883	0.116597188
0.050133268	0.133095451
0.050214653	0.148484759
0.050296039	0.162247644
0.050377424	0.173937407
0.050458809	0.183193016
0.050540194	0.189750096
0.050621579	0.193447651
0.050702964	0.194230355
0.05078435	0.192146433
0.050865735	0.187341348
0.05094712	0.180047722
0.051028505	0.17057206
0.05110989	0.159278985
0.051191276	0.146573805
0.051272661	0.132884289
0.051354046	0.118642535
0.051435431	0.104267806
0.051516816	0.090151116
0.051598201	0.076642257
0.051679587	0.0640398
0.051760972	0.052584429
0.051842357	0.042455785
0.051923742	0.033772792
0.052005127	0.026597248
0.052086512	0.020940268
0.052167898	0.01677103
0.052249283	0.014027136
0.052330668	0.012625815
0.052412053	0.012475174
0.052493438	0.013484698
0.052574823	0.015574265
0.052656209	0.018681044
0.052737594	0.022763802
0.052818979	0.027804314
0.052900364	0.033805754
0.052981749	0.040788201
0.053063135	0.048781535
0.05314452	0.057816263
0.053225905	0.06791291
0.05330729	0.079070785
0.053388675	0.09125699
0.05347006	0.104396559
0.053551446	0.118364595
0.053632831	0.13298116
0.053714216	0.148009563
0.053795601	0.16315845
0.053876986	0.178087922
0.053958371	0.192419622
0.054039757	0.205750473
0.054121142	0.217669521
0.054202527	0.227777058
0.054283912	0.235705057
0.054365297	0.241137759
0.054446683	0.243831223
0.054528068	0.243630576
0.054609453	0.240483842
0.054690838	0.234451285
0.054772223	0.225709472
0.054853608	0.214549495
0.054934994	0.201369102
0.055016379	0.186658843
0.055097764	0.170982673
0.055179149	0.15495381
0.055260534	0.139206937
0.055341919	0.124368113
0.055423305	0.111023956
0.05550469	0.099691743
0.055586075	0.090792134
0.05566746	0.084626105
0.055748845	0.081357544
0.055830231	0.081002667
0.055911616	0.083427096
0.055993001	0.088351025
0.056074386	0.095362466
0.056155771	0.103938101
0.056237156	0.113470839
0.056318542	0.123302733
0.056399927	0.132761593
0.056481312	0.141199345
0.056562697	0.148030028
0.056644082	0.152765271
0.056725467	0.155045148
0.056806853	0.154662542
0.056888238	0.151579396
0.056969623	0.145933696
0.057051008	0.138036482
0.057132393	0.128358741
0.057213779	0.117508606
0.057295164	0.106199854
0.057376549	0.095213198
0.057457934	0.085352367
0.057539319	0.077397291
0.057620704	0.072056946
0.05770209	0.069924561
0.057783475	0.071437764
0.05786486	0.076846122
0.057946245	0.086188142
0.05802763	0.099279345
0.058109015	0.115712461
0.058190401	0.134870132
0.058271786	0.155949833
0.058353171	0.178000027
0.058434556	0.199965898
0.058515941	0.220742459
0.058597326	0.239232321
0.058678712	0.254405097
0.058760097	0.265355233
0.058841482	0.271355048
0.058922867	0.271899958
0.059004252	0.266743179
0.059085638	0.25591775
0.059167023	0.23974431
0.059248408	0.218823836
0.059329793	0.194015336
0.059411178	0.166399301
0.059492563	0.137228531
0.059573949	0.107868651
0.059655334	0.079731254
0.059736719	0.054203065
0.059818104	0.03257481
0.059899489	0.015973549
0.059980874	0.005302137
0.056381	0.003952135
0.056458	0.0135763
0.056534	0.02971013
0.05661	0.051678332
0.056687	0.078511758
0.056763	0.10899295
0.056839	0.141715144
0.056916	0.175151796
0.056992	0.207733126
0.057068	0.237925713
0.057144	0.264311036
0.057221	0.285658792
0.057297	0.300991109
0.057373	0.309634207
0.05745	0.311254675
0.057526	0.305878351
0.057602	0.293890677
0.057678	0.276018394
0.057755	0.253293406
0.057831	0.227000608
0.057907	0.198612327
0.057984	0.169712743
0.05806	0.141916194
0.058136	0.116783621
0.058213	0.095741518
0.058289	0.080007601
0.058365	0.070527121
0.058441	0.067923128
0.058518	0.072463305
0.058594	0.084045099
0.05867	0.102199922
0.058747	0.126116171
0.058823	0.154679863
0.058899	0.186530734
0.058975	0.220130835
0.059052	0.253842056
0.059128	0.286008517
0.059204	0.31503954
0.059281	0.339488936
0.059357	0.358126519
0.059433	0.369998236
0.05951	0.374471899
0.059586	0.3712663
0.059662	0.360462362
0.059738	0.342495962
0.059815	0.318132979
0.059891	0.288428089
0.059967	0.254669614
